(pcb_id|quantity|startDate|endDate)
45|550|2022. 04. 01. 12:11:18|2022. 04. 01. 12:13:18
3|796|2022. 04. 01. 12:10:18|2022. 04. 01. 12:13:18
12|626|2022. 04. 01. 12:12:18|2022. 04. 01. 12:19:18
22|974|2022. 04. 01. 12:08:18|2022. 04. 01. 12:22:18
28|396|2022. 04. 01. 12:07:18|2022. 04. 01. 12:15:18
12|835|2022. 04. 01. 12:11:18|2022. 04. 01. 12:20:18
46|756|2022. 04. 01. 12:10:18|2022. 04. 01. 12:18:18
50|879|2022. 04. 01. 12:09:18|2022. 04. 01. 12:15:18
49|387|2022. 04. 01. 12:05:18|2022. 04. 01. 12:16:18
10|168|2022. 04. 01. 12:05:18|2022. 04. 01. 12:19:18
